Unique_ID,Treaty,provision,actorholder,action,actoraffected,natural_language_sentence
BBNJ_M088,BBNJ,"BBNJ, Article 24(5)",Scientific and Technical Body,Power: May elaborate procedures and guidance for emergency measures for COP consideration/adoption.,COP,"Under Article 24(5) of the BBNJ, Scientific and Technical Body has a duty towards COP, to elaborate procedures and guidance for emergency measures for consideration and adoption by the COP."
BBNJ_M089,BBNJ,"BBNJ, Article 25(1)",Contracting Party,Duty: Shall ensure ABNJ activities under its jurisdiction/control are conducted consistently with decisions adopted under this Part.,Other Contracting Parties,"Under Article 25(1) of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to ensure that activities in ABNJ under its jurisdiction or control are conducted consistently with decisions adopted under this Part."
BBNJ_M090,BBNJ,"BBNJ, Article 25(2)",Contracting Party,"Liberty: May adopt more stringent measures with respect to its nationals/vessels or activities under its jurisdiction/control, in accordance with international law.",Other Contracting Parties,"Under Article 25(2) of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to adopt more stringent measures with respect to its nationals or vessels, or activities under its jurisdiction or control, in accordance with international law."
BBNJ_M091,BBNJ,"BBNJ, Article 25(6)",Contracting Party,Duty: Shall cooperate in conservation and sustainable use of BBNJ even if not member/participant in relevant bodies or measures.,Other Contracting Parties,"Under Article 25(6) of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to cooperate in the conservation and sustainable use of BBNJ even if not a member or participant in relevant bodies or measures."
BBNJ_M092,BBNJ,"BBNJ, Article 26",Contracting Party,Duty: Shall report to the COP on implementation of ABMTs/MPAs and related measures.,COP,"Under Article 26 of the BBNJ, Contracting Party has a duty towards COP, to report to the COP on implementation of ABMTs/MPAs and related measures."
BBNJ_M093,BBNJ,"BBNJ, Article 26",Secretariat,Duty: Shall make Parties’ reports and related information/reviews publicly available.,Stakeholders,"Under Article 26 of the BBNJ, Secretariat has a duty towards Stakeholders, to make Parties’ reports and related information and reviews publicly available."
BBNJ_M094,BBNJ,"BBNJ, Article 26",Relevant Bodies,Liberty: May provide information to the COP on measures they have adopted to achieve objectives.,COP,"Under Article 26 of the BBNJ, Relevant Bodies has a duty towards COP, to provide information to the COP on measures they have adopted to achieve the objectives."
BBNJ_M095,BBNJ,"BBNJ, Article 26",Scientific and Technical Body,Duty: Shall monitor and periodically review implementation and provide advice and recommendations.,COP,"Under Article 26 of the BBNJ, Scientific and Technical Body has a duty towards COP, to monitor and periodically review implementation, and to provide advice and recommendations."
BBNJ_M096,BBNJ,"BBNJ, Article 26",COP,"Power: May take decisions/recommendations to amend, extend or revoke ABMTs/MPAs and related measures.",Contracting Party,"Under Article 26 of the BBNJ, COP has a duty towards Contracting Party, to take decisions or make recommendations to amend, extend or revoke ABMTs/MPAs and related measures."
BBNJ_M097,BBNJ,"BBNJ, Article 28",Contracting Party,Duty: Shall ensure EIA is conducted for planned ABNJ activities under its jurisdiction or control before authorization.,Other Contracting Parties,"Under Article 28 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to ensure that an EIA is conducted for planned activities in ABNJ under its jurisdiction or control prior to authorization."
BBNJ_M098,BBNJ,"BBNJ, Article 28",Contracting Party,Duty: Shall ensure EIA for activities within national jurisdiction that may cause significant harmful changes in ABNJ.,Other Contracting Parties,"Under Article 28 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to ensure that an EIA is conducted for activities within national jurisdiction that may cause significant harmful changes in ABNJ."
BBNJ_M099,BBNJ,"BBNJ, Article 29",Contracting Party,Duty: Shall promote use of EIAs and adoption/implementation of Article 38 standards/guidelines in relevant bodies.,Relevant Bodies,"Under Article 29 of the BBNJ, Contracting Party has a duty towards Relevant Bodies, to promote the use of EIAs and the adoption and implementation of the standards and guidelines under Article 38 in relevant bodies."
BBNJ_M100,BBNJ,"BBNJ, Article 29",COP,Power: Shall develop mechanisms for STB collaboration with relevant bodies under this Part.,Scientific and Technical Body,"Under Article 29 of the BBNJ, COP has a duty towards Scientific and Technical Body, to develop mechanisms for collaboration by the Scientific and Technical Body with relevant bodies under this Part."
BBNJ_M101,BBNJ,"BBNJ, Article 30",Contracting Party,Duty: Shall conduct screening using specified factors when effects may be more than minor or transitory or are unknown/poorly understood.,Other Contracting Parties,"Under Article 30 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to conduct screening using the specified factors when the effects may be more than minor or transitory, or are unknown or poorly understood."
BBNJ_M102,BBNJ,"BBNJ, Article 31",Contracting Party,"Duty: Shall undertake screening and make determination publicly available, including through the Clearing-House Mechanism.",Clearing-House,"Under Article 31 of the BBNJ, Contracting Party has a duty towards Clearing-House, to undertake screening and make the determination publicly available, including through the Clearing-House Mechanism."
BBNJ_M103,BBNJ,"BBNJ, Article 31",Contracting Party,"Duty: Shall identify/assess measures to prevent, mitigate and manage potential adverse effects and, where appropriate, incorporate them into an environmental management plan.",Other Contracting Parties,"Under Article 31 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to identify and assess measures to prevent, mitigate and manage potential adverse effects and, where appropriate, to incorporate them into an environmental management plan."
BBNJ_M104,BBNJ,"BBNJ, Article 32",Contracting Party,Duty: Shall ensure timely public notification of planned activities and time-bound opportunities for participation throughout the EIA process.,Stakeholders,"Under Article 32 of the BBNJ, Contracting Party has a duty towards Stakeholders, to ensure timely public notification of planned activities and time-bound opportunities for participation throughout the EIA process."
BBNJ_M105,BBNJ,"BBNJ, Article 32",Contracting Party,"Duty: Shall consult adjacent Coastal States and provide written responses addressing their comments, including on potential impacts in areas within national jurisdiction.",Coastal States,"Under Article 32 of the BBNJ, Contracting Party has a duty towards Coastal States, to consult adjacent Coastal States and to provide written responses addressing their comments, including on potential impacts in areas within national jurisdiction."
BBNJ_M106,BBNJ,"BBNJ, Article 33",Contracting Party,Duty: Shall ensure preparation of an EIA report that includes the minimum required information.,Other Contracting Parties,"Under Article 33 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to ensure the preparation of an EIA report that includes the minimum required information."
BBNJ_M107,BBNJ,"BBNJ, Article 34",Contracting Party,"Duty: Shall determine if the planned activity may proceed, taking full account of the EIA, and authorize only after ensuring prevention of significant adverse impacts.",Other Contracting Parties,"Under Article 34 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to determine whether the planned activity may proceed, taking full account of the EIA, and to authorize it only after ensuring the prevention of significant adverse impacts."
BBNJ_M108,BBNJ,"BBNJ, Article 34",Contracting Party,"Duty: Shall make decision documents public, including through the Clearing-House Mechanism.",Clearing-House,"Under Article 34 of the BBNJ, Contracting Party has a duty towards Clearing-House, to make the decision documents public, including through the Clearing-House Mechanism."
BBNJ_M109,BBNJ,"BBNJ, Article 34",COP,Power: May provide advice and assistance to a Party upon request when determining whether a planned activity may proceed.,Contracting Party,"Under Article 34 of the BBNJ, COP has a duty towards Contracting Party, to provide advice and assistance to a Party, upon request, when determining whether a planned activity may proceed."
BBNJ_M110,BBNJ,"BBNJ, Article 35",Contracting Party,"Duty: Shall monitor environmental and associated impacts of authorized activities under conditions of approval, using best available science and, where available, relevant traditional knowledge.",Other Contracting Parties,"Under Article 35 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to monitor environmental and associated impacts of authorized activities, under the conditions of approval, using the best available science and, where available, relevant traditional knowledge."
BBNJ_M111,BBNJ,"BBNJ, Article 36",Contracting Party,Duty: Shall periodically report on impacts of authorized activities and monitoring results under Article 35.,COP,"Under Article 36 of the BBNJ, Contracting Party has a duty towards COP, to report periodically on the impacts of authorized activities and the monitoring results under Article 35."
BBNJ_M112,BBNJ,"BBNJ, Article 36",Contracting Party,"Duty: Shall make monitoring reports public, including through the Clearing-House Mechanism.",Stakeholders,"Under Article 36 of the BBNJ, Contracting Party has a duty towards Stakeholders, to make the monitoring reports public, including through the Clearing-House Mechanism."
BBNJ_M113,BBNJ,"BBNJ, Article 36",Scientific and Technical Body,Duty: Shall consider monitoring reports for the purpose of developing guidelines on monitoring of impacts of authorized activities.,Contracting Party,"Under Article 36 of the BBNJ, Scientific and Technical Body has a duty towards Contracting Party, to consider monitoring reports for the purpose of developing guidelines on the monitoring of impacts of authorized activities."
BBNJ_M114,BBNJ,"BBNJ, Article 37(1)",Contracting Party,Duty: Shall ensure that impacts monitored under Article 35 are reviewed.,Other Contracting Parties,"Under Article 37(1) of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to ensure that impacts monitored under Article 35 are reviewed."
BBNJ_M115,BBNJ,"BBNJ, Article 37(2)",Contracting Party,"Duty: Upon identifying significant unforeseen adverse impacts or breach of conditions, shall review the authorization decision and notify COP, other Parties and the public, including through the Clearing-House Mechanism.",COP; Other Contracting Parties; Stakeholders; Clearing-House,"Under Article 37(2) of the BBNJ, Contracting Party has a duty towards COP; Other Contracting Parties; Stakeholders; Clearing-House, to, upon identifying significant unforeseen adverse impacts or a breach of conditions, review the authorization decision and notify COP, Other Contracting Parties and the public, including through the Clearing-House Mechanism."
BBNJ_M116,BBNJ,"BBNJ, Article 37(2)(a)",Contracting Party,"Duty: Shall require modification, mitigation or cessation of the activity, as appropriate.",Proponent or Requesting Party,"Under Article 37(2)(a) of the BBNJ, Contracting Party has a duty towards Proponent or Requesting Party, to require modification, mitigation or cessation of the activity, as appropriate."
BBNJ_M117,BBNJ,"BBNJ, Article 37(2)(b)",Contracting Party,Power: May suspend the activity.,Proponent or Requesting Party,"Under Article 37(2)(b) of the BBNJ, Contracting Party has a duty towards Proponent or Requesting Party, to suspend the activity."
BBNJ_M118,BBNJ,"BBNJ, Article 37(5)",Contracting Party,"Duty: Shall consult potentially most affected States and keep stakeholders informed through the Clearing-House; stakeholders may be consulted in monitoring, reporting and review.",Affected Parties; Stakeholders; Clearing-House,"Under Article 37(5) of the BBNJ, Contracting Party has a duty towards Affected Parties; Stakeholders; Clearing-House, to consult potentially most affected States and keep stakeholders informed through the Clearing-House; stakeholders may be consulted in monitoring, reporting and review."
BBNJ_M119,BBNJ,"BBNJ, Article 37(6)",Contracting Party,"Duty: Shall publish, including through the Clearing-House Mechanism, (a) review reports and (b) decision documents (with reasons) when a decision is changed.",Clearing-House,"Under Article 37(6) of the BBNJ, Contracting Party has a duty towards Clearing-House, to publish, including through the Clearing-House Mechanism, (a) review reports and (b) decision documents (with reasons) when a decision is changed."
BBNJ_M120,BBNJ,"BBNJ, Article 38(1)",Scientific and Technical Body,"Duty: Shall develop standards or guidelines on EIA matters (e.g., thresholds, report content, consultation, alternatives) for COP consideration and adoption.",COP,"Under Article 38(1) of the BBNJ, Scientific and Technical Body has a duty towards COP, to develop standards or guidelines on EIA matters (including thresholds, report content, consultation and alternatives) for consideration and adoption by the COP."
BBNJ_M121,BBNJ,"BBNJ, Article 38(3)",COP,Power: May adopt standards as annexes to the Agreement in accordance with Article 74.,Contracting Party,"Under Article 38(3) of the BBNJ, COP has a duty towards Contracting Party, to adopt such standards as annexes to the Agreement, in accordance with Article 74."
BBNJ_M122,BBNJ,"BBNJ, Article 39(1)",Contracting Party,Duty: Shall consider conducting strategic environmental assessments for relevant plans and programmes in ABNJ.,Other Contracting Parties,"Under Article 39(1) of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to consider conducting strategic environmental assessments for relevant plans and programmes in ABNJ."
BBNJ_M123,BBNJ,"BBNJ, Article 39(2)",COP,Power: May conduct a strategic environmental assessment of an area or region.,Contracting Party,"Under Article 39(2) of the BBNJ, COP has a duty towards Contracting Party, to conduct a strategic environmental assessment of an area or region."
BBNJ_M124,BBNJ,"BBNJ, Article 39(3)",Contracting Party,Duty: Shall take into account results of relevant strategic environmental assessments when undertaking EIAs.,Other Contracting Parties,"Under Article 39(3) of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to take into account the results of relevant strategic environmental assessments when undertaking EIAs."
BBNJ_M125,BBNJ,"BBNJ, Article 39(4)",COP,Duty: Shall develop guidance on the conduct of each category of strategic environmental assessment.,Contracting Party,"Under Article 39(4) of the BBNJ, COP has a duty towards Contracting Party, to develop guidance on the conduct of each category of strategic environmental assessment."
BBNJ_M126,BBNJ,"BBNJ, Article 41(1)",Contracting Party,"Duty: Shall cooperate to assist Parties, in particular developing States Parties, through capacity-building and the development and transfer of marine technology.",Developing States,"Under Article 41(1) of the BBNJ, Contracting Party has a duty towards Developing States, to cooperate to assist Parties, in particular developing States Parties, including through capacity-building and the development and transfer of marine technology."
BBNJ_M127,BBNJ,"BBNJ, Article 41(2)",Contracting Party,"Duty: Shall cooperate at all levels and in all forms, including partnerships with stakeholders, such as the private sector, civil society, and IPLCs.",Stakeholders; IPLCs,"Under Article 41(2) of the BBNJ, Contracting Party has a duty towards Stakeholders; IPLCs, to cooperate at all levels and in all forms, including through partnerships with stakeholders such as the private sector, civil society and IPLCs."
BBNJ_M128,BBNJ,"BBNJ, Article 41(3)",Contracting Party,"Duty: Shall give full recognition to the special requirements of developing States Parties (incl. least developed, landlocked, geographically disadvantaged, small island developing States, coastal African, archipelagic, and developing middle-income States) and ensure support is not conditional on onerous reporting.",Developing States; Small Island and Vulnerable Countries,"Under Article 41(3) of the BBNJ, Contracting Party has a duty towards Developing States; Small Island and Vulnerable Countries, to give full recognition to the special requirements of developing States Parties (including least developed, landlocked, geographically disadvantaged, small island developing States, coastal African, archipelagic and developing middle-income States) and to ensure that support is not conditional on onerous reporting."
BBNJ_M129,BBNJ,"BBNJ, Article 42(1)",Contracting Party,"Duty: Within capabilities, shall ensure capacity-building for developing States Parties and shall cooperate to achieve the transfer of marine technology.",Developing States,"Under Article 42(1) of the BBNJ, Contracting Party has a duty towards Developing States, to, within capabilities, ensure capacity-building for developing States Parties and to cooperate to achieve the transfer of marine technology."
BBNJ_M130,BBNJ,"BBNJ, Article 42(2)",Contracting Party,"Duty: Shall provide, within capabilities, resources to support capacity-building and the development and transfer of marine technology and facilitate access to other sources of support.",Developing States,"Under Article 42(2) of the BBNJ, Contracting Party has a duty towards Developing States, to provide, within capabilities, resources to support capacity-building and the development and transfer of marine technology, and to facilitate access to other sources of support."
BBNJ_M131,BBNJ,"BBNJ, Article 42(3)",Contracting Party,"Duty: Shall ensure capacity-building/technology transfer is country-driven, transparent, effective, iterative, participatory, cross-cutting and gender-responsive, building on existing programmes.",Developing States,"Under Article 42(3) of the BBNJ, Contracting Party has a duty towards Developing States, to ensure that capacity-building and technology transfer are country-driven, transparent, effective, iterative, participatory, cross-cutting and gender-responsive, building on existing programmes."
BBNJ_M132,BBNJ,"BBNJ, Article 42(4)",Contracting Party,Duty: Shall base capacity-building/technology transfer on needs/priorities of developing States Parties identified through needs assessments.,Developing States,"Under Article 42(4) of the BBNJ, Contracting Party has a duty towards Developing States, to base capacity-building and technology transfer on the needs and priorities of developing States Parties identified through needs assessments."
BBNJ_M133,BBNJ,"BBNJ, Article 42(4)",Capacity-Building and Technology Transfer Committee,Power: May facilitate needs assessments for developing States Parties.,Developing States,"Under Article 42(4) of the BBNJ, Capacity-Building and Technology Transfer Committee has a duty towards Developing States, to facilitate needs assessments for developing States Parties."
BBNJ_M134,BBNJ,"BBNJ, Article 42(4)",Clearing-House,Power: May facilitate needs assessments for developing States Parties.,Developing States,"Under Article 42(4) of the BBNJ, Clearing-House has a duty towards Developing States, to facilitate needs assessments for developing States Parties."
BBNJ_M135,BBNJ,"BBNJ, Article 43(2)",Contracting Party,"Duty: Shall ensure transfer of marine technology on fair and most favourable terms, including concessional and preferential terms, and in accordance with mutually agreed terms.",Developing States,"Under Article 43(2) of the BBNJ, Contracting Party has a duty towards Developing States, to ensure the transfer of marine technology on fair and most favourable terms, including concessional and preferential terms, and in accordance with mutually agreed terms."
BBNJ_M136,BBNJ,"BBNJ, Article 43(3)",Contracting Party,"Duty: Shall take into account rights over technologies and show due regard for legitimate interests of holders, suppliers and recipients.",Private Sector; Resource-Providing Party; Receiving Party,"Under Article 43(3) of the BBNJ, Contracting Party has a duty towards Private Sector; Resource-Providing Party; Receiving Party, to take into account rights over technologies and to show due regard for the legitimate interests of holders, suppliers and recipients."
BBNJ_M137,BBNJ,"BBNJ, Article 43(5)",Contracting Party,"Duty: Shall ensure technology transferred is appropriate, relevant, reliable, affordable, up to date, environmentally sound and accessible for developing States Parties.",Developing States,"Under Article 43(5) of the BBNJ, Contracting Party has a duty towards Developing States, to ensure that technology transferred is appropriate, relevant, reliable, affordable, up to date, environmentally sound and accessible for developing States Parties."
BBNJ_M138,BBNJ,"BBNJ, Article 44(1)",Contracting Party,Liberty: May provide the indicative types of capacity-building and technology transfer listed (non-exhaustive).,Developing States,"Under Article 44(1) of the BBNJ, Contracting Party has a duty towards Developing States, to provide the indicative types of capacity-building and technology transfer listed, on a non-exhaustive basis."
BBNJ_M139,BBNJ,"BBNJ, Article 44(3)",COP,"Duty: Shall periodically review, assess and further develop/provide guidance on the indicative types, taking account of committee recommendations.",Contracting Party,"Under Article 44(3) of the BBNJ, COP has a duty towards Contracting Party, to periodically review, assess and further develop, and to provide guidance on, the indicative types, taking into account committee recommendations."
BBNJ_M140,BBNJ,"BBNJ, Article 45(2)",Capacity-Building and Technology Transfer Committee,Duty: Shall carry out monitoring and review of capacity-building/technology transfer under COP authority.,COP,"Under Article 45(2) of the BBNJ, Capacity-Building and Technology Transfer Committee has a duty towards COP, to carry out monitoring and review of capacity-building and technology transfer under the authority of the COP."
BBNJ_M141,BBNJ,"BBNJ, Article 45(3)",Contracting Party,Duty: Shall submit reports to the Capacity-Building and Technology Transfer Committee (format/intervals set by COP).,Capacity-Building and Technology Transfer Committee,"Under Article 45(3) of the BBNJ, Contracting Party has a duty towards Capacity-Building and Technology Transfer Committee, to submit reports to the Capacity-Building and Technology Transfer Committee, in the format and at the intervals set by the COP."
BBNJ_M142,BBNJ,"BBNJ, Article 45(3)",COP,"Duty: Shall ensure reporting requirements are streamlined and not onerous, in particular for developing States Parties.",Developing States,"Under Article 45(3) of the BBNJ, COP has a duty towards Developing States, to ensure reporting requirements are streamlined and not onerous, in particular for developing States Parties."
BBNJ_M143,BBNJ,"BBNJ, Article 46(2)",COP,Power: Elects members of the Capacity-Building and Technology Transfer Committee and decides its terms of reference and modalities.,Capacity-Building and Technology Transfer Committee,"Under Article 46(2) of the BBNJ, COP has a duty towards Capacity-Building and Technology Transfer Committee, to elect members of the Capacity-Building and Technology Transfer Committee and to decide its terms of reference and modalities."
BBNJ_M144,BBNJ,"BBNJ, Article 46(2)",Contracting Party,Power: May nominate members to the Capacity-Building and Technology Transfer Committee.,Capacity-Building and Technology Transfer Committee,"Under Article 46(2) of the BBNJ, Contracting Party has a duty towards Capacity-Building and Technology Transfer Committee, to nominate members to the Capacity-Building and Technology Transfer Committee."
BBNJ_M145,BBNJ,"BBNJ, Article 46(3)",Capacity-Building and Technology Transfer Committee,Duty: Shall submit reports and recommendations for COP consideration/action.,COP,"Under Article 46(3) of the BBNJ, Capacity-Building and Technology Transfer Committee has a duty towards COP, to submit reports and recommendations for consideration and action by the COP."
BBNJ_M146,BBNJ,"BBNJ, Article 47(6)(a)",COP,Power: Adopt decisions and recommendations related to the implementation of the Agreement.,Contracting Party,"Under Article 47(6)(a) of the BBNJ, COP has a duty towards Contracting Party, to adopt decisions and recommendations related to the implementation of the Agreement."
BBNJ_M147,BBNJ,"BBNJ, Article 47(6)(c)",COP,"Duty: Promote cooperation and coordination with and among relevant legal instruments/frameworks and relevant global, regional, subregional and sectoral bodies.",Relevant Bodies,"Under Article 47(6)(c) of the BBNJ, COP has a duty towards Relevant Bodies, to promote cooperation and coordination with and among relevant legal instruments and frameworks, and relevant global, regional, subregional and sectoral bodies."
BBNJ_M148,BBNJ,"BBNJ, Article 47(6)(d)",COP,Power: Establish subsidiary bodies as deemed necessary to support implementation.,Subsidiary bodies,"Under Article 47(6)(d) of the BBNJ, COP has a duty towards Subsidiary bodies, to establish subsidiary bodies, as deemed necessary, to support implementation."
BBNJ_M149,BBNJ,"BBNJ, Article 47(6)(e)",COP,Power: Adopt a budget by a three-fourths majority if consensus efforts are exhausted.,Contracting Party,"Under Article 47(6)(e) of the BBNJ, COP has a duty towards Contracting Party, to adopt a budget by a three-fourths majority if efforts to reach consensus are exhausted."
BBNJ_M150,BBNJ,"BBNJ, Article 47(8)",COP,Duty: Periodically assess/review adequacy and effectiveness of Agreement provisions and propose means to strengthen implementation.,Contracting Party,"Under Article 47(8) of the BBNJ, COP has a duty towards Contracting Party, to periodically assess and review the adequacy and effectiveness of the Agreement’s provisions and to propose means to strengthen implementation."
BBNJ_M151,BBNJ,"BBNJ, Article 48(1)",COP,Duty: Promote transparency in decision-making processes and other activities under the Agreement.,Stakeholders,"Under Article 48(1) of the BBNJ, COP has a duty towards Stakeholders, to promote transparency in decision-making processes and other activities under the Agreement."
BBNJ_M152,BBNJ,"BBNJ, Article 48(2)",COP,Duty: Ensure meetings are open to observers unless decided otherwise and publish/maintain a public record of decisions.,Stakeholders,"Under Article 48(2) of the BBNJ, COP has a duty towards Stakeholders, to ensure meetings are open to observers unless decided otherwise, and to publish and maintain a public record of decisions."
BBNJ_M153,BBNJ,"BBNJ, Article 48(4)",COP,Duty: Provide modalities for observer participation and timely access to information; rules shall not be unduly restrictive.,Non-Parties; Relevant Bodies; IPLCs; Stakeholders,"Under Article 48(4) of the BBNJ, COP has a duty towards Non-Parties; Relevant Bodies; IPLCs; Stakeholders, to provide modalities for observer participation and timely access to information; such rules shall not be unduly restrictive."
BBNJ_M154,BBNJ,"BBNJ, Article 49(2)",COP,Power: Elect members of the Scientific and Technical Body and determine its terms of reference and modalities.,Scientific and Technical Body,"Under Article 49(2) of the BBNJ, COP has a duty towards Scientific and Technical Body, to elect members of the Scientific and Technical Body and to determine its terms of reference and modalities."
BBNJ_M155,BBNJ,"BBNJ, Article 49(2)",Contracting Party,Power: May nominate members to the Scientific and Technical Body.,Scientific and Technical Body,"Under Article 49(2) of the BBNJ, Contracting Party has a duty towards Scientific and Technical Body, to nominate members to the Scientific and Technical Body."
BBNJ_M156,BBNJ,"BBNJ, Article 49(4)",Scientific and Technical Body,"Duty: Provide scientific and technical advice to the COP, perform assigned functions and report on its work.",COP,"Under Article 49(4) of the BBNJ, Scientific and Technical Body has a duty towards COP, to provide scientific and technical advice to the COP, to perform its assigned functions, and to report on its work."
BBNJ_M157,BBNJ,"BBNJ, Article 49(3)",Scientific and Technical Body,Power: May seek information from relevant instruments/frameworks/bodies and from other scientists and experts.,Relevant Bodies,"Under Article 49(3) of the BBNJ, Scientific and Technical Body has a duty towards Relevant Bodies, to seek information from relevant instruments, frameworks and bodies, and from other scientists and experts."
BBNJ_M158,BBNJ,"BBNJ, Article 50(1)",COP,"Power: Make arrangements for the functioning of the Secretariat, including deciding its seat, at the first COP meeting.",Secretariat,"Under Article 50(1) of the BBNJ, COP has a duty towards Secretariat, to make arrangements for the functioning of the Secretariat, including deciding its seat, at the first meeting of the COP."
BBNJ_M159,BBNJ,"BBNJ, Article 50(3)(f)",Secretariat,Duty: Provide assistance with implementation and perform other functions as determined by the COP or assigned under the Agreement.,Contracting Party,"Under Article 50(3)(f) of the BBNJ, Secretariat has a duty towards Contracting Party, to provide assistance with implementation and to perform other functions as determined by the COP or assigned under the Agreement."
BBNJ_M160,BBNJ,"BBNJ, Article 51",Clearing-House,"Duty: Shall serve as a centralized open-access platform to enable Parties to access, provide and disseminate information specified under this Agreement.",Contracting Party,"Under Article 51 of the BBNJ, Clearing-House has a duty towards Contracting Party, to serve as a centralized, open-access platform to enable Parties to access, provide and disseminate information specified under this Agreement."
BBNJ_M161,BBNJ,"BBNJ, Article 51",COP,Power: May determine the specific modalities for the operation of the Clearing-House Mechanism.,Clearing-House,"Under Article 51 of the BBNJ, COP has a duty towards Clearing-House, to determine the specific modalities for the operation of the Clearing-House Mechanism."
BBNJ_M162,BBNJ,"BBNJ, Article 51",Secretariat,Duty: Shall manage the Clearing-House Mechanism.,Clearing-House,"Under Article 51 of the BBNJ, Secretariat has a duty towards Clearing-House, to manage the Clearing-House Mechanism."
BBNJ_M163,BBNJ,"BBNJ, Article 51",Clearing-House,"Duty: Shall foster enhanced transparency and facilitate international cooperation and collaboration, including scientific and technical cooperation.",Relevant Bodies,"Under Article 51 of the BBNJ, Clearing-House has a duty towards Relevant Bodies, to foster enhanced transparency and facilitate international cooperation and collaboration, including scientific and technical cooperation."
BBNJ_M164,BBNJ,"BBNJ, Article 52",Contracting Party,"Duty: Shall, within its capabilities, provide resources for activities intended to achieve the objectives of the Agreement.",Secretariat,"Under Article 52 of the BBNJ, Contracting Party has a duty towards Secretariat, to provide, within its capabilities, resources for activities intended to achieve the objectives of the Agreement."
BBNJ_M165,BBNJ,"BBNJ, Article 52",Contracting Party,Duty: Shall fund institutions established under the Agreement through assessed contributions.,Secretariat,"Under Article 52 of the BBNJ, Contracting Party has a duty towards Secretariat, to fund institutions established under the Agreement through assessed contributions."
BBNJ_M166,BBNJ,"BBNJ, Article 52",COP,Power: May consider establishing additional funds as part of the financial mechanism.,Contracting Party,"Under Article 52 of the BBNJ, COP has a duty towards Contracting Party, to consider establishing additional funds as part of the financial mechanism."
BBNJ_M168,BBNJ,"BBNJ, Article 53",Contracting Party,"Duty: Shall take the necessary legislative, administrative or policy measures to ensure implementation of the Agreement.",COP,"Under Article 53 of the BBNJ, Contracting Party has a duty towards COP, to take the necessary legislative, administrative or policy measures to ensure implementation of the Agreement."
BBNJ_M169,BBNJ,"BBNJ, Article 54",Contracting Party,Duty: Shall monitor implementation of its obligations under the Agreement.,COP,"Under Article 54 of the BBNJ, Contracting Party has a duty towards COP, to monitor implementation of its obligations under the Agreement."
BBNJ_M170,BBNJ,"BBNJ, Article 54",Contracting Party,"Duty: Shall report to the COP, in the format and at intervals determined by the COP, on measures taken to implement the Agreement.",COP,"Under Article 54 of the BBNJ, Contracting Party has a duty towards COP, to report to the COP, in the format and at the intervals determined by the COP, on measures taken to implement the Agreement."
BBNJ_M171,BBNJ,"BBNJ, Article 55",COP,Power: Elects members of the Implementation and Compliance Committee nominated by Parties.,Implementation and Compliance Committee,"Under Article 55 of the BBNJ, COP has a duty towards Implementation and Compliance Committee, to elect members of the Implementation and Compliance Committee nominated by Parties."
BBNJ_M172,BBNJ,"BBNJ, Article 55",Contracting Party,Power: May nominate members to the Implementation and Compliance Committee.,Implementation and Compliance Committee,"Under Article 55 of the BBNJ, Contracting Party has a duty towards Implementation and Compliance Committee, to nominate members to the Implementation and Compliance Committee."
BBNJ_M173,BBNJ,"BBNJ, Article 55",COP,Power: Adopts the modalities and rules of procedure for the Implementation and Compliance Committee.,Implementation and Compliance Committee,"Under Article 55 of the BBNJ, COP has a duty towards Implementation and Compliance Committee, to adopt the modalities and rules of procedure for the Implementation and Compliance Committee."
BBNJ_M174,BBNJ,"BBNJ, Article 55",Implementation and Compliance Committee,Duty: Shall consider issues of implementation and compliance and report/recommend to the COP.,COP,"Under Article 55 of the BBNJ, Implementation and Compliance Committee has a duty towards COP, to consider issues of implementation and compliance and to report and make recommendations to the COP."
BBNJ_M175,BBNJ,"BBNJ, Article 55",Implementation and Compliance Committee,Power: May draw on appropriate information from bodies established under the Agreement and from relevant instruments/frameworks and bodies.,Relevant Bodies,"Under Article 55 of the BBNJ, Implementation and Compliance Committee has a duty towards Relevant Bodies, to draw on appropriate information from bodies established under the Agreement, and from relevant instruments, frameworks and bodies."
BBNJ_M176,BBNJ,"BBNJ, Article 56",Contracting Party,Duty: Shall cooperate in order to prevent disputes.,Other Contracting Parties,"Under Article 56 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to cooperate in order to prevent disputes."
